,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
6781,6782,764,Thailand,2010,Population aged 0 to 14 years old (percentage),19.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6782,6783,764,Thailand,2010,Population aged 60+ years old (percentage),13.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6783,6784,764,Thailand,2010,Population density,133.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6784,6785,764,Thailand,2015,Population mid-year estimates (millions),70.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6785,6786,764,Thailand,2015,Population mid-year estimates for males (millions),34.37,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6786,6787,764,Thailand,2015,Population mid-year estimates for females (millions),35.93,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6787,6788,764,Thailand,2015,Sex ratio (males per 100 females),95.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6788,6789,764,Thailand,2015,Population aged 0 to 14 years old (percentage),17.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6789,6790,764,Thailand,2015,Population aged 60+ years old (percentage),16.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6790,6791,764,Thailand,2015,Population density,137.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6791,6792,764,Thailand,2021,Population mid-year estimates (millions),71.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6792,6793,764,Thailand,2021,Population mid-year estimates for males (millions),34.79,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6793,6794,764,Thailand,2021,Population mid-year estimates for females (millions),36.81,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6794,6795,764,Thailand,2021,Sex ratio (males per 100 females),94.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6795,6796,764,Thailand,2021,Population aged 0 to 14 years old (percentage),15.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6796,6797,764,Thailand,2021,Population aged 60+ years old (percentage),21.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6797,6798,764,Thailand,2021,Population density,140.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6798,6799,764,Thailand,2021,Surface area (thousand km2),513,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
6799,6800,764,Thailand,2022,Population mid-year estimates (millions),71.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6800,6801,764,Thailand,2022,Population mid-year estimates for males (millions),34.81,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6801,6802,764,Thailand,2022,Population mid-year estimates for females (millions),36.89,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6802,6803,764,Thailand,2022,Sex ratio (males per 100 females),94.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6803,6804,764,Thailand,2022,Population aged 0 to 14 years old (percentage),15.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6804,6805,764,Thailand,2022,Population aged 60+ years old (percentage),22,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6805,6806,764,Thailand,2022,Population density,140.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6806,6807,626,Timor-Leste,2010,Population mid-year estimates (millions),1.09,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6807,6808,626,Timor-Leste,2010,Population mid-year estimates for males (millions),0.56,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6808,6809,626,Timor-Leste,2010,Population mid-year estimates for females (millions),0.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
